order_id,order_date,customer_id,sap_customer_code,crm_reference,sales_org,distribution_channel,division,region,territory,sales_rep_id,order_type,order_status,payment_terms,requested_delivery_date,currency,gross_value,discount_value,net_order_value,source_system,created_by
SO100001,2026-05-31,CUST_DUP003,BP-DUP-003,CRMORD-102924,SBC_NG,DIST,BEV,North West Region,Sabon Gari Route 1,SR0065,ZOR Standard Order,Completed,7 Days,2026-06-03,NGN,220640,4323.0,216317.0,SAP,crm_sync
SO100002,2026-04-11,CUST00059,BP500059,CRMORD-354517,SBC_NG,DIST,BEV,South West Region,Challenge Route 2,SR0042,ZCR Credit Order,Completed,30 Days,2026-04-14,NGN,9500,665.0,8835.0,Manual Excel Upload,crm_sync
SO100003,2026-05-31,CUST00351,BP500351,CRMORD-857645,SBC_NG,MT,BEV,South South Region,Bonny Route 1,SR0021,ZOR Standard Order,Completed,30 Days,2026-06-01,NGN,1037400,22074.0,1015326.0,SAP,crm_sync
SO100004,2026-04-08,CUST00495,BP500495,CRMORD-550885,SBC_NG,GT,BEV,South West Region,Mokola Route 2,SR0046,ZCR Credit Order,Open,30 Days,2026-04-10,NGN,83660,2096.1,81563.9,SAP,sales_admin2
SO100005,2026-05-04,CUST00019,BP500019,CRMORD-768622,SBC_NG,HORECA,BEV,South East Region,New Haven Route 1,SR0049,ZOR Standard Order,Completed,30 Days,2026-05-05,NGN,14600,0.0,14600.0,SAP,sales_admin2
SO100006,2026-02-18,CUST00308,BP500308,CRMORD-357618,SBC_NG,GT,BEV,North West Region,Tarauni Route 1,SR0067,ZCR Credit Order,Completed,30 Days,2026-02-20,NGN,59350,5935.0,53415.0,Manual Excel Upload,sales_admin2
SO100007,2026-02-21,CUST00087,BP500087,CRMORD-720637,SBC_NG,DIST,BEV,South South Region,Ring Road Route 1,SR0085,ZOR Standard Order,Completed,Cash,2026-02-22,NGN,126250,1804.4,124445.6,SAP,sales_admin1
SO100008,2026-04-10,CUST00202,BP500202,,SBC_NG,HORECA,BEV,South East Region,Osisioma Route 1,SR0061,ZOR Standard Order,Completed,Cash,2026-04-13,NGN,95810,668.5,95141.5,SAP,sales_admin1
SO100009,2026-05-18,CUST00012,BP500012,CRMORD-695402,SBC_NG,HORECA,BEV,South South Region,Trans-Amadi Route 2,SR0018,ZOR Standard Order,Completed,Cash,2026-05-21,NGN,68690,7076.6,61613.4,SAP,sap_batch
SO100010,2026-03-31,CUST00463,BP500463,CRMORD-345199,SBC_NG,KA,BEV,Lagos Region,Ikeja Route 1,SR0001,ZOR Standard Order,Completed,14 Days,2026-04-04,NGN,181000,7340.6,173659.4,SAP,crm_sync
SO100011,2026-05-01,CUST_DUP013,BP-DUP-013,CRMORD-747933,SBC_NG,DIST,BEV,South East Region,Onitsha Route 1,SR0087,ZOR Standard Order,Completed,7 Days,2026-05-03,NGN,2179330,221814.5,1957515.5,SAP,regional_user
SO100012,2026-03-11,CUSTX74234,,CRMORD-156941,SBC_NG,GT,BEV,South West Region,Unmapped Territory,SR0068,ZOR Standard Order,Completed,7 Days,2026-03-13,NGN,65790,1795.5,63994.5,SAP,sales_admin1
SO100013,2026-04-16,CUST00056,BP500056,CRMORD-642723,SBC_NG,DIST,BEV,South East Region,Osisioma Route 1,SR0061,ZOR Standard Order,Open,45 Days,2026-04-18,NGN,87920,2637.6,85282.4,SAP,sap_batch
SO100014,2026-05-29,CUST00469,BP500469,CRMORD-193131,SBC_NG,DIST,BEV,North West Region,Barnawa Route 2,SR0074,ZCR Credit Order,Completed,Cash,2026-06-01,NGN,61740,2280.0,59460.0,SAP,sap_batch
SO100015,2026-04-06,CUST00147,BP500147,CRMORD-333653,SBC_NG,HORECA,BEV,South West Region,Bodija Route 1,SR0039,ZOR Standard Order,Completed,Cash,2026-04-08,NGN,25320,637.2,24682.8,SAP,crm_sync
SO100016,2026-04-05,CUST00082,BP500082,CRMORD-385188,SBC_NG,KA,BEV,North West Region,Fagge Route 2,SR0070,ZOR Standard Order,Cancelled,Cash,2026-04-07,NGN,165600,19872.0,145728.0,SAP,regional_user
SO100017,2026-05-16,CUST00475,BP500475,CRMORD-956263,SBC_NG,MT,BEV,South South Region,Trans-Amadi Route 1,SR0017,ZOR Standard Order,Completed,Cash,2026-05-20,NGN,17730,1241.1,16488.9,SAP,crm_sync
SO100018,2026-03-30,CUST00583,BP500583,CRMORD-716549,SBC_NG,KA,BEV,South East Region,Abakpa Route 2,SR0052,ZOR Standard Order,Completed,14 Days,2026-04-03,NGN,27990,1222.2,26767.8,SAP,regional_user
