order_id,delivery_id,invoice_id,delivery_date,invoice_date,delivery_status,invoice_status,ordered_cases,confirmed_cases,delivered_cases,invoice_value,return_cases,return_reason,proof_of_delivery,payment_status
SO100001,DLV407416,INV709210,2026-06-04,2026-06-04,Delivered,Invoiced,64,64,64,216317.0,0,,Yes,Paid
SO100002,DLV478367,INV717245,2026-04-18,2026-04-21,Delivered,Invoiced,5,5,5,8835.0,0,,Yes,Paid
SO100003,DLV352350,INV741315,2026-06-01,2026-06-03,Delivered,Invoiced,261,231,231,898621.86,0,,Yes,Partially Paid
SO100004,,,,,Not Delivered,Not Invoiced,24,24,0,0.0,0,,,
SO100005,DLV475522,INV756062,2026-05-05,2026-05-05,Partially Delivered,Invoiced,4,4,2,7300.0,0,,Yes,Paid
SO100006,DLV342469,INV767965,2026-02-28,2026-03-01,Delivered,Invoiced,8,19,19,126860.62,0,,Yes,Unpaid
SO100007,DLV494698,INV752951,2026-02-21,2026-02-22,Delivered,Invoiced,51,51,51,124445.6,0,,Yes,Paid
SO100008,DLV305634,INV727242,2026-04-13,2026-04-14,Partially Delivered,Invoiced,27,27,21,73998.94,0,,Yes,Paid
SO100009,DLV466627,INV732076,2026-05-18,2026-05-18,Partially Delivered,Invoiced,30,26,21,43129.38,0,,Yes,Paid
SO100010,DLV333262,INV891668,2026-04-07,2026-04-07,Delivered,Invoiced,74,63,63,147845.16,0,,Yes,Paid
SO100011,DLV311577,INV772390,2026-05-02,2026-05-02,Delivered,Partially Invoiced,629,629,629,1957515.5,0,,Yes,Paid
SO100012,DLV480359,INV811717,2026-03-18,2026-03-21,Delivered,Invoiced,20,20,20,63994.5,0,,No,Unpaid
SO100013,,,,,Not Delivered,Not Invoiced,28,28,0,0.0,0,,,
SO100014,DLV326981,INV727583,2026-05-31,2026-05-31,Delivered,Invoiced,18,18,18,59460.0,0,,No,Paid
SO100015,DLV369892,INV710996,2026-04-08,2026-04-11,Delivered,Invoiced,6,9,9,37024.2,0,,Yes,Partially Paid
SO100016,,,,,Not Delivered,Not Invoiced,72,72,0,0.0,0,,,
SO100017,DLV413317,INV824765,2026-05-23,2026-05-24,Delivered,Partially Invoiced,9,9,9,16488.9,0,,Yes,Unpaid
SO100018,DLV361387,INV871807,2026-03-30,2026-03-31,Delivered,Invoiced,9,9,9,26767.8,0,,Yes,Paid
SO100019,DLV491697,INV821392,2026-05-02,2026-05-03,Partially Delivered,Invoiced,25,25,11,17017.26,0,,Yes,Unpaid
SO100020,DLV412851,INV841991,2026-01-08,2025-12-27,Delivered,Partially Invoiced,30,22,22,57568.13,0,,Yes,Unpaid
SO100021,DLV450237,INV860614,2026-05-02,2026-05-02,Delivered,Invoiced,26,36,36,135651.6,0,,Yes,Unpaid
SO100022,DLV429324,INV784408,2026-02-25,2026-02-27,Delivered,Invoiced,6,6,6,22431.2,0,,Yes,Paid
SO100023,,,,,Not Delivered,Not Invoiced,80,76,0,0.0,0,,,
SO100024,DLV479558,INV858861,2026-01-05,2026-01-06,Delivered,Invoiced,3,3,3,6409.2,0,,Yes,Paid
SO100025,DLV422379,INV775822,2026-01-04,2026-01-07,Delivered,Invoiced,29,28,28,81090.51,0,,Yes,Partially Paid
SO100026,DLV359226,INV751726,2026-05-25,2026-05-25,Delivered,Invoiced,13,13,13,22490.0,0,,Yes,Paid
SO100027,DLV409853,INV816577,2026-04-20,2026-04-20,Delivered,Invoiced,2,1,1,7350.0,0,,Yes,Paid
SO100028,DLV452075,INV841999,2026-01-17,2026-01-18,Delivered,Invoiced,192,192,192,650812.8,0,,No,Unpaid
SO100029,DLV372585,INV722865,2026-05-26,2026-05-26,Partially Delivered,Invoiced,102,100,77,267386.27,0,,Yes,Paid
SO100030,DLV368006,INV728664,2026-03-31,2026-04-02,Delivered,Invoiced,5,5,5,9550.0,0,,Yes,Paid
SO100031,DLV357334,INV877561,2026-04-12,2026-04-13,Partially Delivered,Invoiced,22,22,12,43770.76,0,,Yes,Paid
SO100032,DLV309638,INV800009,2026-03-04,2026-03-07,Delivered,Invoiced,34,34,34,82291.6,0,,Yes,Overdue
SO100033,,,,,Not Delivered,Not Invoiced,44,38,0,0.0,0,,,
SO100034,DLV318489,INV842725,2026-02-04,2026-02-06,Delivered,Invoiced,30,28,28,103258.68,0,,Yes,Overdue
SO100035,DLV468312,INV764102,2026-05-09,2026-05-12,Delivered,Invoiced,12,76,76,760238.13,0,,Yes,Paid
SO100036,DLV333104,,2026-01-14,,Delivered,Not Invoiced,8,6,6,0.0,0,,Yes,
SO100037,DLV348564,INV897297,2026-05-21,2026-05-23,Delivered,Invoiced,39,37,37,47853.52,0,,Pending,Paid
SO100038,,,,,Not Delivered,Not Invoiced,15,15,0,0.0,0,,,
SO100039,DLV365982,INV864523,2026-01-09,2026-01-09,Delivered,Invoiced,27,27,27,61336.0,0,,Yes,Paid
SO100040,DLV419036,INV897286,2026-04-03,2026-04-04,Delivered,Invoiced,16,14,14,38469.9,0,,Yes,Unpaid
SO100041,DLV328679,INV810310,2026-02-16,2026-02-16,Delivered,Invoiced,240,240,240,542810.4,10,Short delivery claim,Yes,Paid
SO100042,DLV432146,INV865260,2026-02-27,2026-02-27,Delivered,Invoiced,33,33,33,91687.0,0,,No,Paid
SO100043,DLV488879,INV869396,2026-03-07,2026-03-10,Delivered,Invoiced,35,34,34,80539.39,0,,Yes,Paid
SO100044,DLV384550,INV841375,2026-01-13,2026-01-13,Delivered,Invoiced,13,13,13,23794.1,0,,Pending,Unpaid
SO100045,DLV395831,INV715156,2026-01-19,2026-01-19,Delivered,Invoiced,114,112,112,366566.18,0,,Pending,Paid
SO100046,DLV412570,INV777393,2026-06-01,2026-06-02,Delivered,Invoiced,7,3,3,9715.2,0,,Pending,Paid
SO100047,DLV491889,,2026-02-01,,Delivered,Not Invoiced,21,21,21,0.0,0,,Yes,
SO100048,DLV374251,INV758812,2026-02-21,2026-02-24,Delivered,Invoiced,32,32,32,96526.4,0,,Yes,Unpaid
SO100049,DLV498713,INV858634,2026-01-31,2026-01-31,Delivered,Invoiced,11,11,11,43640.3,1,Short delivery claim,Yes,Paid
SO100050,DLV460000,INV872752,2026-03-19,2026-03-19,Delivered,Invoiced,74,74,74,367926.1,0,,Yes,Overdue
SO100051,DLV319651,INV824008,2026-04-18,2026-04-18,Partially Delivered,Partially Invoiced,15,15,11,45369.87,0,,Yes,Paid
SO100052,DLV368307,INV722865,2026-05-19,2026-05-19,Delivered,Invoiced,7,7,7,14008.0,0,,Pending,Unpaid
SO100053,,,,,Not Delivered,Not Invoiced,28,28,0,0.0,0,,,
SO100054,DLV383585,INV851970,2026-03-07,2026-03-10,Delivered,Invoiced,6,6,6,11640.0,0,,No,Paid
SO100055,,,,,Not Delivered,Not Invoiced,41,41,0,0.0,0,,,
SO100056,,,,,Not Delivered,Not Invoiced,5,5,0,0.0,0,,,
SO100057,DLV384587,INV869485,2026-01-21,2026-01-22,Delivered,Invoiced,40,40,40,78800.0,4,Damaged bottles,Yes,Paid
SO100058,DLV356873,INV788806,2026-04-22,2026-04-24,Delivered,Invoiced,30,25,25,64535.0,0,,Yes,Overdue
SO100059,DLV492885,INV823172,2026-04-10,2026-04-11,Delivered,Invoiced,67,58,58,138774.35,0,,Yes,Unpaid
SO100060,DLV379273,INV894732,2026-03-30,2026-03-31,Delivered,Invoiced,25,25,25,61372.5,2,Customer rejected,Yes,Overdue
SO100061,DLV374101,INV725435,2026-02-17,2026-02-19,Delivered,Invoiced,38,38,38,142352.6,0,,Yes,Partially Paid
SO100062,DLV356403,INV708730,2026-01-10,2026-01-10,Delivered,Invoiced,31,29,29,85224.45,0,,Yes,Paid
SO100063,DLV499826,INV889485,2026-02-12,2026-02-13,Delivered,Invoiced,139,139,139,336091.6,0,,Yes,Paid
SO100064,DLV404005,INV806536,2026-04-01,2026-04-01,Delivered,Invoiced,75,51,51,189672.13,0,,Yes,Unpaid
SO100065,DLV340638,INV779626,2026-02-15,2026-02-18,Delivered,Invoiced,78,78,78,175746.0,0,,Yes,Partially Paid
SO100066,DLV378802,INV799233,2026-05-12,2026-05-13,Delivered,Invoiced,2,2,2,3627.0,0,,Yes,Paid
SO100067,,,,,Not Delivered,Not Invoiced,59,48,0,0.0,0,,,
SO100068,DLV402044,INV874579,2026-04-27,2026-04-27,Delivered,Invoiced,33,30,30,31570.91,0,,Pending,Paid
SO100069,DLV475135,INV719997,2026-03-08,2026-03-08,Delivered,Invoiced,74,74,74,168412.0,0,,No,Paid
SO100070,DLV344866,,2026-01-26,,Delivered,Not Invoiced,7,7,7,0.0,0,,Yes,
SO100071,DLV454704,INV888613,2026-03-24,2026-03-24,Partially Delivered,Invoiced,34,31,20,62860.47,0,,Yes,Unpaid
SO100072,DLV394061,,2026-03-27,,Delivered,Not Invoiced,20,20,20,0.0,0,,Yes,
SO100073,DLV418311,INV790660,2026-05-23,2026-05-23,Delivered,Invoiced,54,54,54,171222.0,0,,Yes,Unpaid
SO100074,DLV307686,INV739311,2026-04-08,2026-04-09,Delivered,Invoiced,33,33,33,92952.0,0,,Yes,Unpaid
SO100075,DLV428943,INV739604,2026-04-18,2026-04-21,Delivered,Invoiced,47,47,47,93037.9,0,,Yes,Paid
SO100076,DLV355912,INV714008,2026-01-14,2026-01-15,Delivered,Invoiced,105,97,97,220338.73,0,,Yes,Unpaid
SO100077,DLV325035,INV837435,2026-02-06,2026-02-06,Delivered,Invoiced,370,370,370,982252.0,0,,No,Paid
SO100078,DLV318507,INV718801,2026-05-20,2026-05-21,Delivered,Invoiced,7,7,7,21361.8,0,,Yes,Paid
SO100079,,,,,Not Delivered,Not Invoiced,10,10,0,0.0,0,,,
SO100080,DLV447837,INV707022,2026-02-10,2026-02-10,Delivered,Invoiced,12,12,12,38640.0,0,,Pending,Paid
SO100081,DLV347434,INV788691,2026-01-06,2026-01-06,Delivered,Invoiced,5,5,5,18478.5,0,,Yes,Unpaid
SO100082,DLV438057,INV742706,2026-04-08,2026-04-09,Partially Delivered,Partially Invoiced,370,370,276,894085.07,0,,Yes,Paid
SO100083,,,,,Not Delivered,Not Invoiced,14,14,0,0.0,0,,,
SO100084,DLV383260,INV709554,2026-03-02,2026-03-02,Delivered,Invoiced,32,21,21,40635.0,0,,Yes,Paid
SO100085,DLV460997,INV863885,2026-03-03,2026-03-03,Delivered,Invoiced,30,30,30,92100.0,0,,Yes,Unpaid
SO100086,DLV445339,INV809289,2026-05-17,2026-05-18,Delivered,Invoiced,403,403,403,1313570.4,0,,Yes,Unpaid
SO100087,DLV488327,INV772764,2026-03-18,2026-03-18,Delivered,Partially Invoiced,56,56,56,184740.4,0,,Yes,Unpaid
SO100088,DLV346316,INV824606,2026-05-02,2026-05-03,Delivered,Invoiced,7,7,7,41580.0,0,,Yes,Paid
SO100089,DLV402873,INV800454,2026-05-08,2026-05-09,Partially Delivered,Partially Invoiced,97,95,57,130942.52,0,,Yes,Overdue
SO100090,,,,,Not Delivered,Not Invoiced,4,2,0,0.0,0,,,
SO100091,DLV498575,INV813350,2026-02-22,2026-02-22,Delivered,Invoiced,30,26,26,69297.45,0,,Yes,Unpaid
SO100092,DLV430050,INV716790,2026-01-15,2026-01-18,Partially Delivered,Invoiced,54,54,22,49879.3,0,,Yes,Paid
SO100093,DLV343977,INV708160,2026-03-20,2026-03-22,Partially Delivered,Invoiced,10,10,7,50207.5,0,,Yes,Paid
SO100094,DLV333994,INV725520,2026-03-13,2026-03-15,Delivered,Invoiced,549,549,549,1498565.0,0,,Yes,Paid
SO100095,DLV355091,INV812939,2026-04-12,2026-04-14,Delivered,Invoiced,13,13,13,49131.9,0,,Yes,Unpaid
SO100096,,,,,Not Delivered,Not Invoiced,27,27,0,0.0,0,,,
SO100097,,,,,Not Delivered,Not Invoiced,38,38,0,0.0,0,,,
SO100098,,,,,Not Delivered,Not Invoiced,28,28,0,0.0,0,,,
SO100099,,,,,Not Delivered,Not Invoiced,21,18,0,0.0,0,,,
SO100100,DLV349425,INV756640,2026-03-23,2026-03-23,Delivered,Invoiced,56,56,56,189430.4,0,,Yes,Paid
SO100101,DLV460858,INV832965,2026-03-10,2026-03-10,Delivered,Partially Invoiced,175,175,175,892171.7,0,,Yes,Overdue
SO100102,DLV468956,INV821823,2026-02-28,2026-03-02,Delivered,Invoiced,13,13,13,32656.0,0,,No,Paid
SO100103,DLV361159,INV766028,2026-05-25,2026-05-25,Partially Delivered,Invoiced,121,121,57,62967.95,0,,Yes,Partially Paid
SO100104,DLV374483,INV863379,2026-06-01,2026-06-01,Delivered,Invoiced,282,228,228,723070.47,0,,Yes,Paid
SO100105,DLV391204,INV744520,2026-02-06,2026-02-06,Delivered,Invoiced,22,22,22,80968.0,0,,Yes,Unpaid
SO100106,DLV341465,INV845582,2026-05-09,2026-05-12,Partially Delivered,Invoiced,108,108,39,75441.6,0,,Yes,Unpaid
SO100107,DLV308562,INV820665,2026-01-14,2026-01-15,Partially Delivered,Invoiced,379,375,217,739607.0,0,,Yes,Paid
SO100108,DLV469364,INV791296,2026-03-05,2026-03-05,Partially Delivered,Invoiced,90,85,65,254589.11,0,,Yes,Paid
SO100109,DLV343928,INV865421,2026-05-03,2026-05-05,Partially Delivered,Partially Invoiced,314,314,164,630664.61,0,,Yes,Unpaid
SO100110,DLV376175,INV761613,2026-05-20,2026-05-21,Partially Delivered,Invoiced,18,18,15,43045.0,0,,Yes,Overdue
SO100111,DLV333149,INV757557,2026-01-27,2026-01-30,Delivered,Partially Invoiced,27,27,27,92397.0,0,,Yes,Unpaid
SO100112,DLV337863,INV756390,2026-01-20,2026-01-21,Partially Delivered,Invoiced,9,6,5,16703.33,0,,Yes,Overdue
SO100113,DLV411174,INV886821,2026-02-01,2026-02-01,Delivered,Cancelled Invoice,13,7,7,14560.0,0,,Yes,
