invoice_id,order_id,customer_id,invoice_date,due_date,invoice_value,amount_paid,outstanding_amount,payment_status,last_payment_date,collection_owner
INV709210,SO100001,CUST_DUP003,2026-06-04,2026-06-11,216317.0,216317.0,0.0,Paid,2026-06-29,Cash Sales
INV717245,SO100002,CUST00059,2026-04-21,2026-05-21,8835.0,8835.0,0.0,Paid,2026-04-22,Cash Sales
INV741315,SO100003,CUST00351,2026-06-03,2026-07-03,898621.86,656738.01,241883.85,Partially Paid,2026-07-12,Finance Team B
INV756062,SO100005,CUST00019,2026-05-05,2026-06-04,7300.0,7300.0,0.0,Paid,2026-06-08,Regional Credit Officer
INV767965,SO100006,CUST00308,2026-03-01,2026-03-31,126860.62,0,126860.62,Unpaid,,Regional Credit Officer
INV752951,SO100007,CUST00087,2026-02-22,2026-02-22,124445.6,124445.6,0.0,Paid,2026-02-24,Finance Team A
INV727242,SO100008,CUST00202,2026-04-14,2026-04-14,73998.94,73998.94,0.0,Paid,2026-04-28,Finance Team A
INV732076,SO100009,CUST00012,2026-05-18,2026-05-18,43129.38,43129.38,0.0,Paid,2026-05-18,Regional Credit Officer
INV891668,SO100010,CUST00463,2026-04-07,2026-04-21,147845.16,147845.16,0.0,Paid,2026-04-27,Finance Team A
INV772390,SO100011,CUST_DUP013,2026-05-02,2026-05-09,1957515.5,1957515.5,0.0,Paid,2026-05-28,Regional Credit Officer
INV811717,SO100012,CUSTX74234,2026-03-21,2026-03-28,63994.5,0,63994.5,Unpaid,,Regional Credit Officer
INV727583,SO100014,CUST00469,2026-05-31,2026-05-31,59460.0,59460.0,0.0,Paid,2026-05-31,Cash Sales
INV710996,SO100015,CUST00147,2026-04-11,2026-04-11,37024.2,9772.36,27251.84,Partially Paid,2026-04-16,Regional Credit Officer
INV824765,SO100017,CUST00475,2026-05-24,2026-05-24,16488.9,0,16488.9,Unpaid,,Finance Team A
INV871807,SO100018,CUST00583,2026-03-31,2026-04-14,26767.8,26767.8,0.0,Paid,2026-03-31,Cash Sales
INV821392,SO100019,CUST00297,2026-05-03,2026-05-03,17017.26,0,17017.26,Unpaid,,Regional Credit Officer
INV841991,SO100020,CUSTX77763,2025-12-27,2026-01-03,57568.13,0,57568.13,Unpaid,,Finance Team A
INV860614,SO100021,CUST00068,2026-05-02,2026-05-02,135651.6,0,135651.6,Unpaid,,Finance Team B
INV784408,SO100022,CUST00183,2026-02-27,2026-03-13,22431.2,22431.2,0.0,Paid,2026-02-27,Cash Sales
INV858861,SO100024,CUST00591,2026-01-06,2026-02-05,6409.2,6409.2,0.0,Paid,2026-02-12,Regional Credit Officer
INV775822,SO100025,CUST00090,2026-01-07,2026-01-07,81090.51,65312.83,15777.68,Partially Paid,2026-01-17,Regional Credit Officer
INV751726,SO100026,CUST00338,2026-05-25,2026-05-25,22490.0,22490.0,0.0,Paid,2026-06-06,Finance Team A
INV816577,SO100027,CUST00390,2026-04-20,2026-05-04,7350.0,7350.0,0.0,Paid,2026-05-18,Finance Team B
INV841999,SO100028,CUST00509,2026-01-18,2026-01-18,650812.8,0,650812.8,Unpaid,,Regional Credit Officer
INV722865,SO100029,CUST00331,2026-05-26,2026-05-26,267386.27,267386.27,0.0,Paid,2026-06-07,Finance Team B
INV728664,SO100030,CUST00399,2026-04-02,2026-04-02,9550.0,9550.0,0.0,Paid,2026-04-05,Cash Sales
INV877561,SO100031,CUST00519,2026-04-13,2026-04-13,43770.76,43770.76,0.0,Paid,2026-04-21,Cash Sales
INV800009,SO100032,CUSTX77040,2026-03-07,2026-03-07,82291.6,1548.14,80743.46,Overdue,2026-03-21,Cash Sales
INV842725,SO100034,CUST00145,2026-02-06,2026-02-06,103258.68,3078.89,100179.79,Overdue,2026-02-21,Finance Team A
INV764102,SO100035,CUST00068,2026-05-12,2026-05-12,760238.13,760238.13,0.0,Paid,2026-05-31,Cash Sales
INV897297,SO100037,CUSTX78552,2026-05-23,2026-06-06,47853.52,47853.52,0.0,Paid,2026-06-10,Regional Credit Officer
INV864523,SO100039,CUST00118,2026-01-09,2026-01-23,61336.0,61336.0,0.0,Paid,2026-01-28,Cash Sales
INV897286,SO100040,CUST00231,2026-04-04,2026-04-04,38469.9,0,38469.9,Unpaid,,Cash Sales
INV810310,SO100041,CUST00053,2026-02-16,2026-02-16,542810.4,542810.4,0.0,Paid,2026-03-07,Cash Sales
INV865260,SO100042,CUST00306,2026-02-27,2026-02-27,91687.0,91687.0,0.0,Paid,2026-03-06,Regional Credit Officer
INV869396,SO100043,CUST00299,2026-03-10,2026-03-10,80539.39,80539.39,0.0,Paid,2026-03-10,Regional Credit Officer
INV841375,SO100044,CUST00226,2026-01-13,2026-01-13,23794.1,0,23794.1,Unpaid,,Finance Team B
INV715156,SO100045,CUST00502,2026-01-19,2026-01-19,366566.18,366566.18,0.0,Paid,2026-01-20,Cash Sales
INV777393,SO100046,CUST00096,2026-06-02,2026-06-09,9715.2,9715.2,0.0,Paid,2026-06-07,Finance Team A
INV758812,SO100048,CUST00201,2026-02-24,2026-02-24,96526.4,0,96526.4,Unpaid,,Regional Credit Officer
INV858634,SO100049,CUST_DUP029,2026-01-31,2026-01-31,43640.3,43640.3,0.0,Paid,2026-02-20,Cash Sales
INV872752,SO100050,CUST00191,2026-03-19,2026-03-26,367926.1,85099.66,282826.44,Overdue,2026-04-02,Finance Team B
