target_month,sales_rep_id,region,state,territory,category,target_cases,target_value
2026-01-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Carbonated Soft Drink,537,1876400
2026-01-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Energy Drink,99,444500
2026-01-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Malt Drink,189,702100
2026-01-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Mixer,48,150100
2026-01-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Tea Drink,145,514400
2026-01-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Water,251,494100
2026-02-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Carbonated Soft Drink,515,1799500
2026-02-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Energy Drink,114,511900
2026-02-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Malt Drink,117,434700
2026-02-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Mixer,64,200200
2026-02-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Tea Drink,115,408000
2026-02-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Water,358,704700
2026-03-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Carbonated Soft Drink,715,2498400
2026-03-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Energy Drink,155,696000
2026-03-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Malt Drink,167,620400
2026-03-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Mixer,45,140700
2026-03-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Tea Drink,129,457600
2026-03-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Water,412,811000
2026-04-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Carbonated Soft Drink,893,3120400
2026-04-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Energy Drink,160,718400
2026-04-01,SR0001,Lagos Region,Lagos,Ikeja Route 1,Malt Drink,210,780200
