order_id,line_no,product_code,product_name,category,ordered_cases,confirmed_cases,unit_price_case,discount_pct,gross_line_value,discount_line_value,line_net_value,plant,storage_location,rejection_reason
SO100001,1,SKU0036,Bitter Lemon 35cl PET x24,Carbonated Soft Drink,8,8,3220,5,25760,1288.0,24472.0,KAD01,FG01,
SO100001,2,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,29,29,3700,0,107300,0.0,107300.0,KAD01,FG01,
SO100001,3,SKU0001,Cola Max 35cl PET x12,Carbonated Soft Drink,6,6,1780,5,10680,534.0,10146.0,KAD01,FG01,
SO100001,4,SKU0002,Cola Max 35cl PET x24,Carbonated Soft Drink,5,5,3240,0,16200,0.0,16200.0,KAN01,FG03,
SO100001,5,SKU0001,Cola Max 35cl PET x12,Carbonated Soft Drink,10,10,1780,2,17800,356.0,17444.0,KAN01,FG02,
SO100001,6,SKU0034,Orange Burst 1.5L PET x24,Carbonated Soft Drink,6,6,7150,5,42900,2145.0,40755.0,KAN01,FG02,
SO100002,1,SKU0023,Lemon Lime 50cl Can x12,Carbonated Soft Drink,5,5,1900,7,9500,665.0,8835.0,IBD01,FG02,
SO100003,1,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,15,15,3700,7,55500,3885.0,51615.0,PHC01,FG01,
SO100003,2,SKU0014,Lemon Lime 35cl PET x24,Carbonated Soft Drink,60,60,3280,0,196800,0.0,196800.0,BEN01,FG01,
SO100003,3,SKU0016,Lemon Lime 50cl PET x24,Carbonated Soft Drink,60,30,3680,0,220800,0.0,220800.0,PHC01,FG01,
SO100003,4,SKU0032,Orange Burst 1L PET x24,Carbonated Soft Drink,90,90,5570,3,501300,15039.0,486261.0,BEN01,FG01,
SO100003,5,SKU0025,Orange Burst 35cl PET x12,Carbonated Soft Drink,36,36,1750,5,63000,3150.0,59850.0,PHC01,FG03,
SO100004,1,SKU0030,Orange Burst 60cl PET x24,Carbonated Soft Drink,17,17,4110,3,69870,2096.1,67773.9,IBD01,FG02,
SO100004,2,SKU0003,Cola Max 50cl PET x12,Carbonated Soft Drink,7,7,1970,0,13790,0.0,13790.0,IBD01,FG03,
SO100005,1,SKU0028,Orange Burst 50cl PET x24,Carbonated Soft Drink,4,4,3650,0,14600,0.0,14600.0,ENU01,FG03,
SO100006,1,SKU0028,Orange Burst 50cl PET x24,Carbonated Soft Drink,0,11,3650,10,40150,4015.0,36135.0,KAN01,FG02,
SO100006,2,SKU0029,Orange Burst 60cl PET x12,Carbonated Soft Drink,8,8,2400,10,19200,1920.0,17280.0,KAD01,FG01,
SO100007,1,SKU0033,Orange Burst 1.5L PET x12,Carbonated Soft Drink,10,10,3810,0,38100,0.0,38100.0,BEN01,FG01,
SO100007,2,SKU0020,Lemon Lime 1L PET x24,Carbonated Soft Drink,2,2,5940,5,11880,594.0,11286.0,PHC01,RM01,
SO100007,3,SKU0001,Cola Max 35cl PET x12,Carbonated Soft Drink,34,34,1780,2,60520,1210.4,59309.6,PHC01,FG01,
SO100007,4,SKU0026,Orange Burst 35cl PET x24,Carbonated Soft Drink,5,5,3150,0,15750,0.0,15750.0,PHC01,FG02,
SO100008,1,SKU0009,Cola Max 1.5L PET x12,Carbonated Soft Drink,16,16,4080,0,65280,0.0,65280.0,ABA01,FG01,
SO100008,2,SKU0058,Ice Tea 33cl Can x24,Tea Drink,4,4,4290,0,17160,0.0,17160.0,ABA01,FG02,
SO100008,3,SKU0039,Bitter Lemon 50cl Can x12,Carbonated Soft Drink,7,7,1910,5,13370,668.5,12701.5,ENU01,FG02,
SO100009,1,SKU0009,Cola Max 1.5L PET x12,Carbonated Soft Drink,7,7,4080,10,28560,2856.0,25704.0,BEN01,FG02,
SO100009,2,SKU0025,Orange Burst 35cl PET x12,Carbonated Soft Drink,17,13,1750,10,29750,2975.0,26775.0,PHC01,FG02,
SO100009,3,SKU0035,Bitter Lemon 35cl PET x12,Carbonated Soft Drink,6,6,1730,12,10380,1245.6,9134.4,BEN01,FG02,
SO100010,1,SKU0048,Aqua Pure 75cl PET x24,Water,41,41,2180,0,89380,0.0,89380.0,LAG01,FG03,
SO100010,2,SKU0037,Bitter Lemon 50cl PET x12,Carbonated Soft Drink,7,7,1950,12,13650,1638.0,12012.0,LAG02,FG01,
SO100010,3,SKU0018,Lemon Lime 60cl PET x24,Carbonated Soft Drink,5,5,4090,10,20450,2045.0,18405.0,LAG02,FG03,
SO100010,4,SKU0015,Lemon Lime 50cl PET x12,Carbonated Soft Drink,13,7,2080,0,27040,0.0,27040.0,LAG01,FG01,
SO100010,5,SKU0033,Orange Burst 1.5L PET x12,Carbonated Soft Drink,8,3,3810,12,30480,3657.6,26822.4,LAG02,FG03,
SO100011,1,SKU0002,Cola Max 35cl PET x24,Carbonated Soft Drink,40,40,3240,10,129600,12960.0,116640.0,ABA01,FG01,
SO100011,2,SKU0040,Bitter Lemon 50cl Can x24,Carbonated Soft Drink,12,12,3700,12,44400,5328.0,39072.0,ENU01,FG03,
